 ,新字体,旧字体,部首,総画数,学年,追加年,削除年,カナ,カナ,カナ,カナ,カナ,かな,かな,かな,かな,かな,かな,かな
,簡,,竹,,,,,カン,,,,,,,,,,,
,観,觀,見,,,,,カン,,,,,,,,,,,
,韓 ,,韋,,S,,,カン,,,,,,,,,,,
,艦,,舟,,S,,,カン,,,,,,,,,,,
,鑑,,金,,S,,,カン,,,,,かんが-みる,,,,,,
,丸,,丶,,,,,ガン,,,,,まる,まる-い,まる-める,,,,
,含,,口,,S,,,ガン,,,,,ふく-む,ふく-める,,,,,
,岸,,山,,,,,ガン,,,,,きし,,,,,,
,岩,,山,,,,,ガン,,,,,いわ,,,,,,
,玩,,玉,,S,,,ガン,,,,,,,,,,,
,眼,,目,,,,,ガン,（ゲン）,,,,まなこ,,,,,,
,頑,,頁,,S,,,ガン,,,,,,,,,,,
,顔,,頁,,,,,ガン,,,,,かお,,,,,,
,願,,頁,,,,,ガン,,,,,ねが-う,,,,,,
,企,,人,,S,,,キ,,,,,くわだ-てる,,,,,,
,伎,,人,,S,,,キ,,,,,,,,,,,
,危,,卩,,,,,キ,,,,,あぶ-ない,あや-うい,あや-ぶむ,,,,
,机,,木,,,,,キ,,,,,つくえ,,,,,,
,気,氣,气,,,,,キ,ケ,,,,,,,,,,
,岐,,山,,S,,,キ,,,,,,,,,,,
,希,,巾,,,,,キ,,,,,,,,,,,
,忌,,心,,S,,,キ,,,,,い-む,い-まわしい,,,,,
,汽,,水,,,,,キ,,,,,,,,,,,
,奇,,大,,S,,,キ,,,,,,,,,,,
,祈,祈 ,示,,S,,,キ,,,,,いの-る,,,,,,
,季,,子,,,,,キ,,,,,,,,,,,
,紀,,糸,,,,,キ,,,,,,,,,,,
,軌,,車,,S,,,キ,,,,,,,,,,,
,既,既 ,无,,S,,,キ,,,,,すで-に,,,,,,
,記,,言,,,,,キ,,,,,しる-す,,,,,,
,起,,走,,,,,キ,,,,,お-きる,お-こる,お-こす,,,,
,飢,,食,,S,,,キ,,,,,う-える,,,,,,
,鬼,,鬼,,S,,,キ,,,,,おに,,,,,,
,帰,歸,止,,,,,キ,,,,,かえ-る,かえ-す,,,,,
,基,,土,,,,,キ,,,,,もと,もとい,,,,,
,寄,,宀,,,,,キ,,,,,よ-る,よ-せる,,,,,
,規,,見,,,,,キ,,,,,,,,,,,
,亀,龜,龜,,S,,,キ,,,,,かめ,,,,,,
,喜,,口,,,,,キ,,,,,よろこ-ぶ,,,,,,
,幾,,幺,,S,,,キ,,,,,いく,,,,,,
,揮,,手,,,,,キ,,,,,,,,,,,
,期,,月,,,,,キ,（ゴ）,,,,,,,,,,
,棋,,木,,S,,,キ,,,,,,,,,,,
,貴,,貝,,,,,キ,,,,,たっと-い,とうと-い,たっと-ぶ,とうと-ぶ,,,
,棄,,木,,S,,,キ,,,,,,,,,,,
,毀,,殳,,S,,,キ,,,,,,,,,,,
,旗,,方,,,,,キ,,,,,はた,,,,,,
,器,器 ,口,,,,,キ,,,,,うつわ,,,,,,
,畿,,田,,S,,,キ,,,,,,,,,,,
,輝,,車,,S,,,キ,,,,,かがや-く,,,,,,
,機,,木,,,,,キ,,,,,はた,,,,,,
,騎,,馬,,S,,,キ,,,,,,,,,,,
,技,,手,,,,,ギ,,,,,わざ,,,,,,
,宜,,宀,,S,,,ギ,,,,,,,,,,,
,偽,僞,人,,S,,,ギ,,,,,いつわ-る,にせ,,,,,
,欺,,欠,,S,,,ギ,,,,,あざむ-く,,,,,,
,義,,羊,,,,,ギ,,,,,,,,,,,
,疑,,疋,,,,,ギ,,,,,うたが-う,,,,,,
,儀,,人,,S,,,ギ,,,,,,,,,,,
,戯,戲,戈,,S,,,ギ,,,,,たわむ-れる,,,,,,
,擬,,手,,S,,,ギ,,,,,,,,,,,
,犠,犧,牛,,S,,,ギ,,,,,,,,,,,
,議,,言,,,,,ギ,,,,,,,,,,,
,菊,,艸,,S,,,キク,,,,,,,,,,,
,吉,,口,,S,,,キチ,キツ,,,,,,,,,,
,喫,,口,,S,,,キツ,,,,,,,,,,,
,詰,,言,,S,,,キツ,,,,,つ-める,つ-まる,つ-む,,,,
,却,,卩,,S,,,キャク,,,,,,,,,,,
,客,,宀,,,,,キャク,カク,,,,,,,,,,
,脚,,肉,,S,,,キャク,（キャ）,,,,あし,,,,,,
,逆,,辵,,,,,ギャク,,,,,さか,さか-らう,,,,,
,虐,,虍,,S,,,ギャク,,,,,しいた-げる,,,,,,
,九,,乙,,,,,キュウ,ク,,,,ここの,ここの-つ,,,,,
,久,,丿,,,,,キュウ,（ク）,,,,ひさ-しい,,,,,,
,及,,又,,S,,,キュウ,,,,,およ-ぶ,およ-び,およ-ぼす,,,,
,弓,,弓,,,,,キュウ,,,,,ゆみ,,,,,,
,丘,,一,,S,,,キュウ,,,,,おか,,,,,,
,旧,舊,臼,,,,,キュウ,,,,,,,,,,,
,休,,人,,,,,キュウ,,,,,やす-む,やす-まる,やす-める,,,,
,吸,,口,,,,,キュウ,,,,,す-う,,,,,,
,朽,,木,,S,,,キュウ,,,,,く-ちる,,,,,,
,臼,,臼,,S,,,キュウ,,,,,うす,,,,,,
,求,,水,,,,,キュウ,,,,,もと-める,,,,,,
,究,,穴,,,,,キュウ,,,,,きわ-める,,,,,,
,泣,,水,,,,,キュウ,,,,,な-く,,,,,,
,急,,心,,,,,キュウ,,,,,いそ-ぐ,,,,,,
,級,,糸,,,,,キュウ,,,,,,,,,,,
