 ,新字体,旧字体,部首,総画数,学年,追加年,削除年,カナ,カナ,カナ,カナ,カナ,かな,かな,かな,かな,かな,かな,かな
,腐,,肉,,S,,,フ,,,,,くさ-る,くさ-れる,くさ-らす,,,,
,敷,,攴,,S,,,フ,,,,,し-く,,,,,,
,膚,,肉,,S,,,フ,,,,,,,,,,,
,賦,,貝,,S,,,フ,,,,,,,,,,,
,譜,,言,,S,,,フ,,,,,,,,,,,
,侮,侮 ,人,,S,,,ブ,,,,,あなど-る,,,,,,
,武,,止,,,,,ブ,ム,,,,,,,,,,
,部,,邑,,,,,ブ,,,,,,,,,,,
,舞,,舛,,S,,,ブ,,,,,ま-う,まい,,,,,
,封,,寸,,S,,,フウ,ホウ,,,,,,,,,,
,風,,風,,,,,フウ,（フ）,,,,かぜ,（かざ）,,,,,
,伏,,人,,S,,,フク,,,,,ふ-せる,ふ-す,,,,,
,服,,月,,,,,フク,,,,,,,,,,,
,副,,刀,,,,,フク,,,,,,,,,,,
,幅,,巾,,S,,,フク,,,,,はば,,,,,,
,復,,彳,,,,,フク,,,,,,,,,,,
,福,福 ,示,,,,,フク,,,,,,,,,,,
,腹,,肉,,,,,フク,,,,,はら,,,,,,
,複,,衣,,,,,フク,,,,,,,,,,,
,覆,,襾,,S,,,フク,,,,,おお-う,くつがえ-す,くつがえ-る,,,,
,払,拂,手,,S,,,フツ,,,,,はら-う,,,,,,
,沸,,水,,S,,,フツ,,,,,わ-く,わ-かす,,,,,
,仏,佛,人,,,,,ブツ,,,,,ほとけ,,,,,,
,物,,牛,,,,,ブツ,モツ,,,,もの,,,,,,
,粉,,米,,,,,フン,,,,,こ,こな,,,,,
,紛,,糸,,S,,,フン,,,,,まぎ-れる,まぎ-らす,まぎ-らわす,まぎ-らわしい,,,
,雰,,雨,,S,,,フン,,,,,,,,,,,
,噴,,口,,S,,,フン,,,,,ふ-く,,,,,,
,墳,,土,,S,,,フン,,,,,,,,,,,
,憤,,心,,S,,,フン,,,,,いきどお-る,,,,,,
,奮,,大,,,,,フン,,,,,ふる-う,,,,,,
,分,,刀,,,,,ブン,フン,ブ,,,わ-ける,わ-かれる,わ-かる,わ-かつ,,,
,文,,文,,,,,ブン,モン,,,,ふみ,,,,,,
,聞,,耳,,,,,ブン,モン,,,,き-く,き-こえる,,,,,
,丙,,一,,S,,,ヘイ,,,,,,,,,,,
,平,,干,,,,,ヘイ,ビョウ,,,,たい-ら,ひら,,,,,
,兵,,八,,,,,ヘイ,ヒョウ,,,,,,,,,,
,併,倂,人,,S,,,ヘイ,,,,,あわ-せる,,,,,,
,並,竝,立,,,,,ヘイ,,,,,なみ,なら-べる,なら-ぶ,なら-びに,,,
,柄,,木,,S,,,ヘイ,,,,,がら,え,,,,,
,陛,,阜,,,,,ヘイ,,,,,,,,,,,
,閉,,門,,,,,ヘイ,,,,,と-じる,と-ざす,し-める,し-まる,,,
,塀,塀 ,土,,S,,,ヘイ,,,,,,,,,,,
,幣,,巾,,S,,,ヘイ,,,,,,,,,,,
,弊,,廾,,S,,,ヘイ,,,,,,,,,,,
,蔽 ,,艸,,S,,,ヘイ,,,,,,,,,,,
,餅 ,餠,食,,S,,,ヘイ,,,,,もち,,,,,,
,米,,米,,,,,ベイ,マイ,,,,こめ,,,,,,
,壁,,土,,S,,,ヘキ,,,,,かべ,,,,,,
,璧,,玉,,S,,,ヘキ,,,,,,,,,,,
,癖,,疒,,S,,,ヘキ,,,,,くせ,,,,,,
,別,,刀,,,,,ベツ,,,,,わか-れる,,,,,,
,蔑,,艸,,S,,,ベツ,,,,,さげす-む,,,,,,
,片,,片,,,,,ヘン,,,,,かた,,,,,,
,辺,邊,辵,,,,,ヘン,,,,,あた-り,べ,,,,,
,返,,辵,,,,,ヘン,,,,,かえ-す,かえ-る,,,,,
,変,變,言,,,,,ヘン,,,,,か-わる,か-える,,,,,
,偏,,人,,S,,,ヘン,,,,,かたよ-る,,,,,,
,遍,,辵,,S,,,ヘン,,,,,,,,,,,
,編,,糸,,,,,ヘン,,,,,あ-む,,,,,,
,弁,"辨
瓣
辯","辛
瓜
辛",,,,,ベン,,,,,,,,,,,
,便,,人,,,,,ベン,ビン,,,,たよ-り,,,,,,
,勉,勉 ,力,,,,,ベン,,,,,,,,,,,
,歩,步,止,,,,,ホ,ブ,（フ）,,,ある-く,あゆ-む,,,,,
,保,,人,,,,,ホ,,,,,たも-つ,,,,,,
,哺,,口,,S,,,ホ,,,,,,,,,,,
,捕,,手,,S,,,ホ,,,,,と-らえる,と-らわれる,と-る,つか-まえる,つか-まる,,
,補,,衣,,,,,ホ,,,,,おぎな-う,,,,,,
,舗,,舌,,S,,,ホ,,,,,,,,,,,
,母,,毋,,,,,ボ,,,,,はは,,,,,,
,募,,力,,S,,,ボ,,,,,つの-る,,,,,,
,墓,,土,,,,,ボ,,,,,はか,,,,,,
,慕,,心,,S,,,ボ,,,,,した-う,,,,,,
,暮,,日,,,,,ボ,,,,,く-れる,く-らす,,,,,
,簿,,竹,,S,,,ボ,,,,,,,,,,,
,方,,方,,,,,ホウ,,,,,かた,,,,,,
,包,,勹,,,,,ホウ,,,,,つつ-む,,,,,,
,芳,,艸,,S,,,ホウ,,,,,かんば-しい,,,,,,
,邦,,邑,,S,,,ホウ,,,,,,,,,,,
,奉,,大,,S,,,ホウ,（ブ）,,,,たてまつ-る,,,,,,
,宝,寶,宀,,,,,ホウ,,,,,たから,,,,,,
,抱,,手,,S,,,ホウ,,,,,だ-く,いだ-く,かか-える,,,,
,放,,攴,,,,,ホウ,,,,,はな-す,はな-つ,はな-れる,ほう-る,,,
,法,,水,,,,,ホウ,（ハッ）,（ホッ）,,,,,,,,,
,泡,,水,,S,,,ホウ,,,,,あわ,,,,,,
,胞,,肉,,S,,,ホウ,,,,,,,,,,,
,俸,,人,,S,,,ホウ,,,,,,,,,,,
,倣,,人,,S,,,ホウ,,,,,なら-う,,,,,,
,峰,,山,,S,,,ホウ,,,,,みね,,,,,,
,砲,,石,,S,,,ホウ,,,,,,,,,,,
,崩,,山,,S,,,ホウ,,,,,くず-れる,くず-す,,,,,
,訪,,言,,,,,ホウ,,,,,おとず-れる,たず-ねる,,,,,
,報,,土,,,,,ホウ,,,,,むく-いる,,,,,,
,蜂,,虫,,S,,,ホウ,,,,,はち,,,,,,
,豊,豐,豆,,,,,ホウ,,,,,ゆた-か,,,,,,
,飽,,食,,S,,,ホウ,,,,,あ-きる,あ-かす,,,,,
,褒,襃,衣,,S,,,ホウ,,,,,ほ-める,,,,,,
,縫,,糸,,S,,,ホウ,,,,,ぬ-う,,,,,,
,亡,,亠,,,,,ボウ,（モウ）,,,,な-い,,,,,,
,乏,,丿,,S,,,ボウ,,,,,とぼ-しい,,,,,,
,忙,,心,,S,,,ボウ,,,,,いそが-しい,,,,,,
,坊,,土,,S,,,ボウ,（ボッ）,,,,,,,,,,
,妨,,女,,S,,,ボウ,,,,,さまた-げる,,,,,,
,忘,,心,,,,,ボウ,,,,,わす-れる,,,,,,
,防,,阜,,,,,ボウ,,,,,ふせ-ぐ,,,,,,
,房,,戶,,S,,,ボウ,,,,,ふさ,,,,,,
,肪,,肉,,S,,,ボウ,,,,,,,,,,,
,某,,木,,S,,,ボウ,,,,,,,,,,,
,冒,,冂,,S,,,ボウ,,,,,おか-す,,,,,,
,剖,,刀,,S,,,ボウ,,,,,,,,,,,
,紡,,糸,,S,,,ボウ,,,,,つむ-ぐ,,,,,,
,望,,月,,,,,ボウ,モウ,,,,のぞ-む,,,,,,
,傍,,人,,S,,,ボウ,,,,,かたわ-ら,,,,,,
,帽,,巾,,S,,,ボウ,,,,,,,,,,,
,棒,,木,,,,,ボウ,,,,,,,,,,,
,貿,,貝,,,,,ボウ,,,,,,,,,,,
,貌,,豸,,S,,,ボウ,,,,,,,,,,,
,暴,,日,,,,,ボウ,（バク）,,,,あば-く,あば-れる,,,,,
,膨,,肉,,S,,,ボウ,,,,,ふく-らむ,ふく-れる,,,,,
,謀,,言,,S,,,ボウ,（ム）,,,,はか-る,,,,,,
,頰 ,,頁,,S,,,,,,,,ほお,,,,,,
,北,,匕,,,,,ホク,,,,,きた,,,,,,
,木,,木,,,,,ボク,モク,,,,き,（こ）,,,,,
,朴,,木,,S,,,ボク,,,,,,,,,,,
,牧,,牛,,,,,ボク,,,,,まき,,,,,,
,睦,,目,,S,,,ボク,,,,,,,,,,,
,僕,,人,,S,,,ボク,,,,,,,,,,,
,墨,墨 ,土,,S,,,ボク,,,,,すみ,,,,,,
,撲,,手,,S,,,ボク,,,,,,,,,,,
,没,,水,,S,,,ボツ,,,,,,,,,,,
,勃,,力,,S,,,ボツ,,,,,,,,,,,
,堀,,土,,S,,,,,,,,ほり,,,,,,
,本,,木,,,,,ホン,,,,,もと,,,,,,
,奔,,大,,S,,,ホン,,,,,,,,,,,
,翻,飜,飛,,S,,,ホン,,,,,ひるがえ-る,ひるがえ-す,,,,,
,凡,,几,,S,,,ボン,（ハン）,,,,,,,,,,
,盆,,皿,,S,,,ボン,,,,,,,,,,,
,麻,,麻,,S,,,マ,,,,,あさ,,,,,,
,摩,,手,,S,,,マ,,,,,,,,,,,
,磨,,石,,S,,,マ,,,,,みが-く,,,,,,
,魔,,鬼,,S,,,マ,,,,,,,,,,,
,毎,每,毋,,,,,マイ,,,,,,,,,,,
,妹,,女,,,,,マイ,,,,,いもうと,,,,,,
,枚,,木,,,,,マイ,,,,,,,,,,,
,昧,,日,,S,,,マイ,,,,,,,,,,,
,埋,,土,,S,,,マイ,,,,,う-める,う-まる,う-もれる,,,,
,幕,,巾,,,,,マク,バク,,,,,,,,,,
,膜,,肉,,S,,,マク,,,,,,,,,,,
,枕,,木,,S,,,,,,,,まくら,,,,,,
,又,,又,,S,,,,,,,,また,,,,,,
,末,,木,,,,,マツ,バツ,,,,すえ,,,,,,
,抹,,手,,S,,,マツ,,,,,,,,,,,
,万,萬,艸,,,,,マン,バン,,,,,,,,,,
,満,滿,水,,,,,マン,,,,,み-ちる,み-たす,,,,,
,慢,,心,,S,,,マン,,,,,,,,,,,
,漫,,水,,S,,,マン,,,,,,,,,,,
,未,,木,,,,,ミ,,,,,,,,,,,
,味,,口,,,,,ミ,,,,,あじ,あじ-わう,,,,,
,魅,,鬼,,S,,,ミ,,,,,,,,,,,
,岬,,山,,S,,,,,,,,みさき,,,,,,
,密,,宀,,,,,ミツ,,,,,,,,,,,
,蜜,,虫,,S,,,ミツ,,,,,,,,,,,
,脈,,肉,,,,,ミャク,,,,,,,,,,,
,妙,,女,,S,,,ミョウ,,,,,,,,,,,
,民,,氏,,,,,ミン,,,,,たみ,,,,,,
,眠,,目,,S,,,ミン,,,,,ねむ-る,ねむ-い,,,,,
,矛,,矛,,S,,,ム,,,,,ほこ,,,,,,
,務,,力,,,,,ム,,,,,つと-める,つと-まる,,,,,
,無,,火,,,,,ム,ブ,,,,な-い,,,,,,
,夢,,夕,,,,,ム,,,,,ゆめ,,,,,,
,霧,,雨,,S,,,ム,,,,,きり,,,,,,
,娘,,女,,S,,,,,,,,むすめ,,,,,,
,名,,口,,,,,メイ,ミョウ,,,,な,,,,,,
,命,,口,,,,,メイ,ミョウ,,,,いのち,,,,,,
,明,,日,,,,,メイ,ミョウ,,,,あ-かり,あか-るい,あか-るむ,あか-らむ,あき-らか,あ-ける,
,迷,,辵,,,,,メイ,,,,,まよ-う,,,,,,
,冥,,冖,,S,,,メイ,ミョウ,,,,,,,,,,
,盟,,皿,,,,,メイ,,,,,,,,,,,
,銘,,金,,S,,,メイ,,,,,,,,,,,
,鳴,,鳥,,,,,メイ,,,,,な-く,な-る,な-らす,,,,
,滅,,水,,S,,,メツ,,,,,ほろ-びる,ほろ-ぼす,,,,,
,免,免 ,儿,,S,,,メン,,,,,まぬか-れる,,,,,,
,面,,面,,,,,メン,,,,,おも,おもて,つら,,,,
,綿,,糸,,,,,メン,,,,,わた,,,,,,
,麺,麵,麥,,S,,,メン,,,,,,,,,,,
,茂,,艸,,S,,,モ,,,,,しげ-る,,,,,,
,模,,木,,,,,モ,ボ,,,,,,,,,,
,毛,,毛,,,,,モウ,,,,,け,,,,,,
,妄,,女,,S,,,モウ,ボウ,,,,,,,,,,
,盲,,目,,S,,,モウ,,,,,,,,,,,
,耗,,耒,,S,,,モウ,（コウ）,,,,,,,,,,
,猛,,犬,,S,,,モウ,,,,,,,,,,,
,網,,糸,,S,,,モウ,,,,,あみ,,,,,,
,目,,目,,,,,モク,（ボク）,,,,め,（ま）,,,,,
,黙,默,黑,,S,,,モク,,,,,だま-る,,,,,,
,門,,門,,,,,モン,,,,,かど,,,,,,
,紋,,糸,,S,,,モン,,,,,,,,,,,
,問,,口,,,,,モン,,,,,と-う,と-い,（とん）,,,,
,匁,,勹,,S,,,,,,,,もんめ,,,,,,
,冶,,冫,,S,,,ヤ,,,,,,,,,,,
,夜,,夕,,,,,ヤ,,,,,よ,よる,,,,,
,野,,里,,,,,ヤ,,,,,の,,,,,,
,弥,彌,弓,,S,,,,,,,,や,,,,,,
,厄,,厂,,S,,,ヤク,,,,,,,,,,,
,役,,彳,,,,,ヤク,エキ,,,,,,,,,,
,約,,糸,,,,,ヤク,,,,,,,,,,,
,訳,譯,言,,,,,ヤク,,,,,わけ,,,,,,
,薬,藥,艸,,,,,ヤク,,,,,くすり,,,,,,
,躍,,足,,S,,,ヤク,,,,,おど-る,,,,,,
,闇 ,,門,,S,,,,,,,,やみ,,,,,,
,由,,田,,,,,ユ,ユウ,（ユイ）,,,よし,,,,,,
,油,,水,,,,,ユ,,,,,あぶら,,,,,,
,喩 ,,口,,S,,,ユ,,,,,,,,,,,
,愉,,心,,S,,,ユ,,,,,,,,,,,
,諭,,言,,S,,,ユ,,,,,さと-す,,,,,,
,輸,,車,,,,,ユ,,,,,,,,,,,
,癒,,疒,,S,,,ユ,,,,,い-える,い-やす,,,,,
,唯,,口,,S,,,ユイ,（イ）,,,,,,,,,,
,友,,又,,,,,ユウ,,,,,とも,,,,,,
,有,,月,,,,,ユウ,ウ,,,,あ-る,,,,,,
,勇,,力,,,,,ユウ,,,,,いさ-む,,,,,,
,幽,,幺,,S,,,ユウ,,,,,,,,,,,
,悠,,心,,S,,,ユウ,,,,,,,,,,,
,郵,,邑,,,,,ユウ,,,,,,,,,,,
,湧,,水,,S,,,ユウ,,,,,わ-く,,,,,,
,猶,,犬,,S,,,ユウ,,,,,,,,,,,
,裕,,衣,,S,,,ユウ,,,,,,,,,,,
,遊,,辵,,,,,ユウ,（ユ）,,,,あそ-ぶ,,,,,,
,雄,,隹,,S,,,ユウ,,,,,お,おす,,,,,
,誘,,言,,S,,,ユウ,,,,,さそ-う,,,,,,
,憂,,心,,S,,,ユウ,,,,,うれ-える,うれ-い,う-い,,,,
,融,,虫,,S,,,ユウ,,,,,,,,,,,
,優,,人,,,,,ユウ,,,,,やさ-しい,すぐ-れる,,,,,
,与,與,臼,,S,,,ヨ,,,,,あた-える,,,,,,
,予,豫,豕,,,,,ヨ,,,,,,,,,,,
,余,餘,食,,,,,ヨ,,,,,あま-る,あま-す,,,,,
,誉,譽,言,,S,,,ヨ,,,,,ほま-れ,,,,,,
,預,,頁,,,,,ヨ,,,,,あず-ける,あず-かる,,,,,
,幼,,幺,,,,,ヨウ,,,,,おさな-い,,,,,,
,用,,用,,,,,ヨウ,,,,,もち-いる,,,,,,
,羊,,羊,,,,,ヨウ,,,,,ひつじ,,,,,,
,妖,,女,,S,,,ヨウ,,,,,あや-しい,,,,,,
,洋,,水,,,,,ヨウ,,,,,,,,,,,
,要,,襾,,,,,ヨウ,,,,,かなめ,い-る,,,,,
,容,,宀,,,,,ヨウ,,,,,,,,,,,
,庸,,广,,S,,,ヨウ,,,,,,,,,,,
,揚,,手,,S,,,ヨウ,,,,,あ-げる,あ-がる,,,,,
,揺,搖,手,,S,,,ヨウ,,,,,ゆ-れる,ゆ-る,ゆ-らぐ,ゆ-るぐ,ゆ-する,ゆ-さぶる,ゆ-すぶる
,葉,,艸,,,,,ヨウ,,,,,は,,,,,,
,陽,,阜,,,,,ヨウ,,,,,,,,,,,
,溶,,水,,S,,,ヨウ,,,,,と-ける,と-かす,と-く,,,,
,腰,,肉,,S,,,ヨウ,,,,,こし,,,,,,
,様,樣,木,,,,,ヨウ,,,,,さま,,,,,,
,瘍,,疒,,S,,,ヨウ,,,,,,,,,,,
,踊,,足,,S,,,ヨウ,,,,,おど-る,おど-り,,,,,
,窯,,穴,,S,,,ヨウ,,,,,かま,,,,,,
,養,,食,,,,,ヨウ,,,,,やしな-う,,,,,,
,擁,,手,,S,,,ヨウ,,,,,,,,,,,
,謡,謠,言,,S,,,ヨウ,,,,,うたい,うた-う,,,,,
,曜,,日,,,,,ヨウ,,,,,,,,,,,
,抑,,手,,S,,,ヨク,,,,,おさ-える,,,,,,
,沃,,水,,S,,,ヨク,,,,,,,,,,,
,浴,,水,,,,,ヨク,,,,,あ-びる,あ-びせる,,,,,
,欲,,欠,,,,,ヨク,,,,,ほっ-する,ほ-しい,,,,,
,翌,,羽,,,,,ヨク,,,,,,,,,,,
,翼,,羽,,S,,,ヨク,,,,,つばさ,,,,,,
,拉,,手,,S,,,ラ,,,,,,,,,,,
,裸,,衣,,S,,,ラ,,,,,はだか,,,,,,
,羅,,网,,S,,,ラ,,,,,,,,,,,
,来,來,人,,,,,ライ,,,,,く-る,きた-る,きた-す,,,,
,雷,,雨,,S,,,ライ,,,,,かみなり,,,,,,
,頼,賴,貝,,S,,,ライ,,,,,たの-む,たの-もしい,たよ-る,,,,
,絡,,糸,,S,,,ラク,,,,,から-む,から-まる,から-める,,,,
,落,,艸,,,,,ラク,,,,,お-ちる,お-とす,,,,,
,酪,,酉,,S,,,ラク,,,,,,,,,,,
,辣,,辛,,S,,,ラツ,,,,,,,,,,,
,乱,亂,乙,,,,,ラン,,,,,みだ-れる,みだ-す,,,,,
,卵,,卩,,,,,ラン,,,,,たまご,,,,,,
,覧,覽,見,,,,,ラン,,,,,,,,,,,
,濫,,水,,S,,,ラン,,,,,,,,,,,
,藍,,艸,,S,,,ラン,,,,,あい,,,,,,
,欄,欄 ,木,,S,,,ラン,,,,,,,,,,,
,吏,,口,,S,,,リ,,,,,,,,,,,
,利,,刀,,,,,リ,,,,,き-く,,,,,,
,里,,里,,,,,リ,,,,,さと,,,,,,
,理,,玉,,,,,リ,,,,,,,,,,,
,痢,,疒,,S,,,リ,,,,,,,,,,,
,裏,,衣,,,,,リ,,,,,うら,,,,,,
,履,,尸,,S,,,リ,,,,,は-く,,,,,,
,璃,,玉,,S,,,リ,,,,,,,,,,,
,離,,隹,,S,,,リ,,,,,はな-れる,はな-す,,,,,
,陸,,阜,,,,,リク,,,,,,,,,,,
,立,,立,,,,,リツ,（リュウ）,,,,た-つ,た-てる,,,,,
,律,,彳,,,,,リツ,（リチ）,,,,,,,,,,
,慄,,心,,S,,,リツ,,,,,,,,,,,
,略,,田,,,,,リャク,,,,,,,,,,,
,柳,,木,,S,,,リュウ,,,,,やなぎ,,,,,,
,流,,水,,,,,リュウ,（ル）,,,,なが-れる,なが-す,,,,,
,留,,田,,,,,リュウ,（ル）,,,,と-める,と-まる,,,,,
,竜,龍,龍,,S,,,リュウ,,,,,たつ,,,,,,
,粒,,米,,S,,,リュウ,,,,,つぶ,,,,,,
,隆,隆 ,阜,,S,,,リュウ,,,,,,,,,,,
,硫,,石,,S,,,リュウ,,,,,,,,,,,
,侶,,人,,S,,,リョ,,,,,,,,,,,
,旅,,方,,,,,リョ,,,,,たび,,,,,,
,虜,虜 ,虍,,S,,,リョ,,,,,,,,,,,
,慮,,心,,S,,,リョ,,,,,,,,,,,
,了,,亅,,S,,,リョウ,,,,,,,,,,,
,両,兩,入,,,,,リョウ,,,,,,,,,,,
,良,,艮,,,,,リョウ,,,,,よ-い,,,,,,
,料,,斗,,,,,リョウ,,,,,,,,,,,
,涼,,水,,S,,,リョウ,,,,,すず-しい,すず-む,,,,,
,猟,獵,犬,,S,,,リョウ,,,,,,,,,,,
,陵,,阜,,S,,,リョウ,,,,,みささぎ,,,,,,
,量,,里,,,,,リョウ,,,,,はか-る,,,,,,
,僚,,人,,S,,,リョウ,,,,,,,,,,,
,領,,頁,,,,,リョウ,,,,,,,,,,,
,寮,,宀,,S,,,リョウ,,,,,,,,,,,
,療,,疒,,S,,,リョウ,,,,,,,,,,,
,瞭,,目,,S,,,リョウ,,,,,,,,,,,
,糧,,米,,S,,,リョウ,（ロウ）,,,,かて,,,,,,
,力,,力,,,,,リョク,リキ,,,,ちから,,,,,,
,緑,綠,糸,,,,,リョク,（ロク）,,,,みどり,,,,,,
,林,,木,,,,,リン,,,,,はやし,,,,,,
,厘,,厂,,S,,,リン,,,,,,,,,,,
,倫,,人,,S,,,リン,,,,,,,,,,,
,輪,,車,,,,,リン,,,,,わ,,,,,,
,隣,,阜,,S,,,リン,,,,,とな-る,となり,,,,,
,臨,,臣,,,,,リン,,,,,のぞ-む,,,,,,
,瑠,,玉,,S,,,ル,,,,,,,,,,,
,涙,淚,水,,S,,,ルイ,,,,,なみだ,,,,,,
,累,,糸,,S,,,ルイ,,,,,,,,,,,
,塁,壘,土,,S,,,ルイ,,,,,,,,,,,
,類,類 ,頁,,,,,ルイ,,,,,たぐ-い,,,,,,
,令,,人,,,,,レイ,,,,,,,,,,,
,礼,禮,示,,,,,レイ,ライ,,,,,,,,,,
,冷,,冫,,,,,レイ,,,,,つめ-たい,ひ-える,ひ-や,ひ-やす,ひ-やかす,さ-める,さ-ます
,励,勵,力,,S,,,レイ,,,,,はげ-む,はげ-ます,,,,,
,戻,戾,戶,,S,,,レイ,,,,,もど-す,もど-る,,,,,
,例,,人,,,,,レイ,,,,,たと-える,,,,,,
,鈴,,金,,S,,,レイ,リン,,,,すず,,,,,,
,零,,雨,,S,,,レイ,,,,,,,,,,,
,霊,靈,雨,,S,,,レイ,リョウ,,,,たま,,,,,,
,隷,,隶,,S,,,レイ,,,,,,,,,,,
,齢,齡,齒,,S,,,レイ,,,,,,,,,,,
,麗,,鹿,,S,,,レイ,,,,,うるわ-しい,,,,,,
,暦,曆,日,,S,,,レキ,,,,,こよみ,,,,,,
,歴,歷,止,,,,,レキ,,,,,,,,,,,
,列,,刀,,,,,レツ,,,,,,,,,,,
,劣,,力,,S,,,レツ,,,,,おと-る,,,,,,
,烈,,火,,S,,,レツ,,,,,,,,,,,
,裂,,衣,,S,,,レツ,,,,,さ-く,さ-ける,,,,,
,恋,戀,心,,S,,,レン,,,,,こ-う,こい,こい-しい,,,,
,連,,辵,,,,,レン,,,,,つら-なる,つら-ねる,つ-れる,,,,
,廉,,广,,S,,,レン,,,,,,,,,,,
,練,練 ,糸,,,,,レン,,,,,ね-る,,,,,,
,錬,鍊,金,,S,,,レン,,,,,,,,,,,
,呂,,口,,S,,,ロ,,,,,,,,,,,
,炉,爐,火,,S,,,ロ,,,,,,,,,,,
,賂,,貝,,S,,,ロ,,,,,,,,,,,
,路,,足,,,,,ロ,,,,,じ,,,,,,
,露,,雨,,S,,,ロ,（ロウ）,,,,つゆ,,,,,,
,老,,老,,,,,ロウ,,,,,お-いる,ふ-ける,,,,,
,労,勞,力,,,,,ロウ,,,,,,,,,,,
,弄,,廾,,S,,,ロウ,,,,,もてあそ-ぶ,,,,,,
,郎,郞,邑,,S,,,ロウ,,,,,,,,,,,
,朗,朗 ,月,,,,,ロウ,,,,,ほが-らか,,,,,,
,浪,,水,,S,,,ロウ,,,,,,,,,,,
,廊,廊 ,广,,S,,,ロウ,,,,,,,,,,,
,楼,樓,木,,S,,,ロウ,,,,,,,,,,,
,漏,,水,,S,,,ロウ,,,,,も-る,も-れる,も-らす,,,,
,籠 ,,竹,,S,,,ロウ,,,,,かご,こ-もる,,,,,
,六,,八,,,,,ロク,,,,,む,む-つ,むっ-つ,（むい）,,,
,録,錄,金,,,,,ロク,,,,,,,,,,,
,麓,,鹿,,S,,,ロク,,,,,ふもと,,,,,,
,論,,言,,,,,ロン,,,,,,,,,,,
,和,,口,,,,,ワ,（オ）,,,,やわ-らぐ,やわ-らげる,なご-む,なご-やか,,,
,話,,言,,,,,ワ,,,,,はな-す,はなし,,,,,
,賄,,貝,,S,,,ワイ,,,,,まかな-う,,,,,,
,脇,,肉,,S,,,,,,,,わき,,,,,,
,惑,,心,,S,,,ワク,,,,,まど-う,,,,,,
,枠,,木,,S,,,,,,,,わく,,,,,,
,湾,灣,水,,S,,,ワン,,,,,,,,,,,
,腕,,肉,,S,,,ワン,,,,,うで,,,,,,
